id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_account_cash_book_report,access.account.cash.book.report,model_account_cash_book_report,account.group_account_user,1,1,1,1
access_account_day_book_report,access.account.day.book.report,model_account_day_book_report,account.group_account_user,1,1,1,1
access_account_common_partner_report,access.account.common.partner.report,model_account_common_partner_report,account.group_account_user,1,1,1,1
access_asset_depreciation_confirmation_wizard,access.asset.depreciation.confirmation.wizard,model_asset_depreciation_confirmation_wizard,account.group_account_user,1,1,1,1
access_cash_flow_report,access.cash.flow.report,model_cash_flow_report,account.group_account_user,1,1,1,1
access_financial_report,access.financial.report,model_financial_report,account.group_account_user,1,1,1,1
access_report_base_accounting_kit_report_financial,access.report.base_accounting_kit.report_financial,model_report_base_accounting_kit_report_financial,account.group_account_user,1,1,1,1
access_account_report_general_ledger,access.account.report.general.ledger,model_account_report_general_ledger,account.group_account_user,1,1,1,1
access_account_print_journal,access.account.print.journal,model_account_print_journal,account.group_account_user,1,1,1,1
access_account_report_partner_ledger,access.account.report.partner.ledger,model_account_report_partner_ledger,account.group_account_user,1,1,1,1
access_account_common_account_report,access.account.common.account.report,model_account_common_account_report,account.group_account_user,1,1,1,1
access_kit_account_tax_report,access.kit.account.tax.report,model_kit_account_tax_report,account.group_account_user,1,1,1,1
access_account_balance_report,access.account.balance.report,model_account_balance_report,account.group_account_user,1,1,1,1

access_multiple_invoice,multiple_invoice,model_multiple_invoice,account.group_account_manager,1,1,1,1
access_multiple_invoice_layout,multiple_invoice_layout,model_multiple_invoice_layout,account.group_account_manager,1,1,1,1
access_account_common_journal_report,account.common.journal.report,model_account_common_journal_report,account.group_account_user,1,1,1,1

access_account_account_type,account.account.type,model_account_account_type,account.group_account_user,1,1,1,1

access_account_lock_date,access.account.lock.date,model_account_lock_date,account.group_account_user,1,1,1,1
access_account_recurring_entries_line,access.account.recurring.entries.line,model_account_recurring_entries_line,account.group_account_user,1,1,1,1
access_generate_recurring_entries,generate.recurring.entries.user,model_account_recurring_payments,account.group_account_user,1,1,1,1

access_lekhaplus_payment_gateways_,access_lekhaplus_payment_gateways_access_lekhaplus_payment_gateways,model_custom_payment_gateways,base.group_user,1,1,1,1
access_lekhaplus_bank,access_lekhaplus_bank,model_lekhaplus_bank,base.group_user,1,1,1,1
access_lekha_payment_master,access_lekha_payment_master,base_accounting_kit.model_lekhaplus_payment_master,base.group_user,1,1,1,1


access_lekhaplus_payment_gateways_,access_lekhaplus_payment_gateways_access_lekhaplus_payment_gateways,model_custom_payment_gateways,base.group_user,1,1,1,1
access_lekhaplus_bank,access_lekhaplus_bank,model_lekhaplus_bank,base.group_user,1,1,1,1
access_lekha_payment_master,access_lekha_payment_master,base_accounting_kit.model_lekhaplus_payment_master,base.group_user,1,1,1,1


access_res_company_details,access_res_company_details,model_res_company_details,base.group_user,1,1,1,1
access_location_province,access_location_province,model_location_province,base.group_user,1,1,1,1
access_location_district,access_location_district,model_location_district,base.group_user,1,1,1,1
access_location_palika,access_location_palika,model_location_palika,base.group_user,1,1,1,1
access_location_tole,access_location_tole,model_location_tole,base.group_user,1,1,1,1

access_company_category,access_company_category,model_company_category,base.group_user,1,1,1,1

access_bank_type,access_bank_type,model_bank_type,base.group_user,1,1,1,1
access_issuer_bank_details,access_issuer_bank_details,model_issuer_bank,base.group_user,1,1,1,1
access_branch_bank_details,access_branch_bank_details,model_branch_bank,base.group_user,1,1,1,1

access_business_type_pricing,access_business_type_pricing,model_business_type_pricing,base.group_user,1,1,1,1

access_company_register,access_company_register,model_company_register,base.group_user,1,1,1,1
access_company_documents,access_company_documents,model_company_documents,base.group_user,1,1,1,1

access_documents_types,access_documents_types,model_documents_types,base.group_user,1,1,1,1

access_registration_documents,access_registration_documents,model_registration_documents,base.group_user,1,1,1,1
access_email_wizard,access_email_wizard,model_email_wizard,base.group_user,1,1,1,1


access_business_based_products,access_business_based_products,model_business_based_products,base.group_user,1,1,1,1

access_lekhaplus_service_payment,access_lekhaplus_payment,model_lekhaplus_service_payment,base.group_user,1,1,1,1
access_translation_service_mixin,access_translation_service_mixin,model_translation_service_mixin,base.group_user,1,1,1,1

access_product_custom_price,access_product_custom_price,model_product_custom_price,base.group_user,1,1,1,1

access_individual_field_selection,access_individual_field_selection,model_individual_field_selection,base.group_user,1,1,1,1
access_organization_field_selection,access_organization_field_selection,model_organization_field_selection,base.group_user,1,1,1,1

access_product_request_user,access_product_request_user,model_product_request,base.group_user,1,1,1,0
access_product_request_admin,access_product_request_admin,model_product_request,base.group_system,1,1,1,1

access_res_users,access_res_users,model_res_users,base.group_user,1,1,1,0

access_res_partner,access_res_partner,model_res_partner,base.group_user,1,1,1,0

access_limited_user,access_limited_user,model_res_users,base_accounting_kit.group_limited_user,1,0,0,0

access_product_variant_quantity,access_product_variant_quantity,model_product_variant_quantity,base.group_user,1,1,1,1

access_product_custom_price_portal,access_product_custom_price_portal,model_product_custom_price,base.group_portal,1,0,0,0
access_product_custom_price_public,access_product_custom_price_public,model_product_custom_price,base.group_public,1,0,0,0

access_notification_user,notification.user,model_notification_notification,base.group_user,1,1,1,1
access_notification_public,notification.public,model_notification_notification,base.group_public,1,1,1,1
access_notification_portal,notification.portal,model_notification_notification,base.group_portal,1,1,1,1
access_notification_admin,notification.admin,model_notification_notification,base.group_system,1,1,1,1

access_company_register_portal,access_company_register_portal,model_company_register,base.group_portal,1,0,0,0
access_company_register_public,access_company_register_public,model_company_register,base.group_public,1,0,0,0

access_registration_documents_portal,access_registration_documents_portal,model_registration_documents,base.group_portal,1,0,0,0
access_registration_documents_public,access_registration_documents_public,model_registration_documents,base.group_public,1,0,0,0
